"","year","mo","da","crime_data_count"
"1",2012,1,1,1532
"2",2012,1,2,702
"3",2012,1,3,808
"4",2012,1,4,799
"5",2012,1,5,871
"6",2012,1,6,913
"7",2012,1,7,862
"8",2012,1,8,800
"9",2012,1,9,883
"10",2012,1,10,899
"11",2012,1,11,886
"12",2012,1,12,745
"13",2012,1,13,752
"14",2012,1,14,781
"15",2012,1,15,772
"16",2012,1,16,826
"17",2012,1,17,844
"18",2012,1,18,791
"19",2012,1,19,748
"20",2012,1,20,685
"21",2012,1,21,717
"22",2012,1,22,682
"23",2012,1,23,834
"24",2012,1,24,898
"25",2012,1,25,962
"26",2012,1,26,924
"27",2012,1,27,933
"28",2012,1,28,808
"29",2012,1,29,813
"30",2012,1,30,868
"31",2012,1,31,964
"32",2012,2,1,1041
"33",2012,2,2,880
"34",2012,2,3,897
"35",2012,2,4,848
"36",2012,2,5,744
"37",2012,2,6,765
"38",2012,2,7,858
"39",2012,2,8,811
"40",2012,2,9,829
"41",2012,2,10,775
"42",2012,2,11,712
"43",2012,2,12,718
"44",2012,2,13,729
"45",2012,2,14,775
"46",2012,2,15,928
"47",2012,2,16,869
"48",2012,2,17,986
"49",2012,2,18,763
"50",2012,2,19,785
"51",2012,2,20,716
"52",2012,2,21,850
"53",2012,2,22,897
"54",2012,2,23,817
"55",2012,2,24,784
"56",2012,2,25,792
"57",2012,2,26,727
"58",2012,2,27,818
"59",2012,2,28,893
"60",2012,2,29,875
"61",2012,3,1,1042
"62",2012,3,2,881
"63",2012,3,3,779
"64",2012,3,4,757
"65",2012,3,5,764
"66",2012,3,6,938
"67",2012,3,7,950
"68",2012,3,8,922
"69",2012,3,9,958
"70",2012,3,10,891
"71",2012,3,11,805
"72",2012,3,12,912
"73",2012,3,13,926
"74",2012,3,14,930
"75",2012,3,15,1000
"76",2012,3,16,956
"77",2012,3,17,1070
"78",2012,3,18,919
"79",2012,3,19,979
"80",2012,3,20,992
"81",2012,3,21,1076
"82",2012,3,22,979
"83",2012,3,23,976
"84",2012,3,24,905
"85",2012,3,25,885
"86",2012,3,26,831
"87",2012,3,27,868
"88",2012,3,28,911
"89",2012,3,29,948
"90",2012,3,30,941
"91",2012,3,31,878
"92",2012,4,1,999
"93",2012,4,2,828
"94",2012,4,3,883
"95",2012,4,4,865
"96",2012,4,5,881
"97",2012,4,6,903
"98",2012,4,7,974
"99",2012,4,8,820
"100",2012,4,9,918
"101",2012,4,10,844
"102",2012,4,11,920
"103",2012,4,12,922
"104",2012,4,13,939
"105",2012,4,14,944
"106",2012,4,15,977
"107",2012,4,16,931
"108",2012,4,17,959
"109",2012,4,18,879
"110",2012,4,19,961
"111",2012,4,20,917
"112",2012,4,21,876
"113",2012,4,22,824
"114",2012,4,23,935
"115",2012,4,24,896
"116",2012,4,25,952
"117",2012,4,26,925
"118",2012,4,27,962
"119",2012,4,28,878
"120",2012,4,29,803
"121",2012,4,30,869
"122",2012,5,1,1064
"123",2012,5,2,998
"124",2012,5,3,981
"125",2012,5,4,1031
"126",2012,5,5,950
"127",2012,5,6,843
"128",2012,5,7,973
"129",2012,5,8,1025
"130",2012,5,9,977
"131",2012,5,10,916
"132",2012,5,11,998
"133",2012,5,12,932
"134",2012,5,13,819
"135",2012,5,14,1004
"136",2012,5,15,1040
"137",2012,5,16,947
"138",2012,5,17,954
"139",2012,5,18,978
"140",2012,5,19,931
"141",2012,5,20,956
"142",2012,5,21,886
"143",2012,5,22,950
"144",2012,5,23,1072
"145",2012,5,24,1023
"146",2012,5,25,1083
"147",2012,5,26,910
"148",2012,5,27,927
"149",2012,5,28,1030
"150",2012,5,29,1094
"151",2012,5,30,985
"152",2012,5,31,829
"153",2012,6,1,1224
"154",2012,6,2,944
"155",2012,6,3,991
"156",2012,6,4,980
"157",2012,6,5,950
"158",2012,6,6,1024
"159",2012,6,7,991
"160",2012,6,8,1114
"161",2012,6,9,1049
"162",2012,6,10,1008
"163",2012,6,11,1067
"164",2012,6,12,1089
"165",2012,6,13,1076
"166",2012,6,14,979
"167",2012,6,15,1082
"168",2012,6,16,1062
"169",2012,6,17,946
"170",2012,6,18,1068
"171",2012,6,19,1005
"172",2012,6,20,1098
"173",2012,6,21,1056
"174",2012,6,22,1120
"175",2012,6,23,1128
"176",2012,6,24,1077
"177",2012,6,25,965
"178",2012,6,26,957
"179",2012,6,27,1047
"180",2012,6,28,939
"181",2012,6,29,1045
"182",2012,6,30,1011
