day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_data_count
7,2012,01,01,2012-01-01,38.1,30.7,1007.5,9.2,15.2,28.0,35.9,44.1,29.1,0.0,999.9,0,1532
1,2012,01,02,2012-01-02,25.5,13.6,1020.9,8.0,17.4,22.0,29.9,32.0,19.4,0.04,999.9,0,702
2,2012,01,03,2012-01-03,18.7,5.5,1028.9,10.0,8.7,15.9,24.1,28.9,12.9,0.01,999.9,0,808
3,2012,01,04,2012-01-04,30.7,16.9,1016.3,10.0,9.0,17.1,22.0,41.0,12.9,0.0,999.9,0,799
4,2012,01,05,2012-01-05,34.9,24.1,1014.8,10.0,6.1,9.9,999.9,48.9,23.0,0.0,999.9,0,871
5,2012,01,06,2012-01-06,46.2,31.8,1006.0,10.0,7.6,12.0,17.1,54.0,39.0,0.0,999.9,0,913
6,2012,01,07,2012-01-07,40.6,27.8,1012.9,10.0,7.6,13.0,999.9,55.0,30.9,0.0,999.9,0,862
7,2012,01,08,2012-01-08,32.6,23.8,1025.7,10.0,2.5,7.0,999.9,44.1,25.0,0.0,999.9,0,800
1,2012,01,09,2012-01-09,34.3,26.5,1021.7,8.6,6.8,17.1,27.0,46.0,25.0,0.0,999.9,0,883
2,2012,01,10,2012-01-10,39.6,28.3,1015.6,10.0,6.8,14.0,21.0,52.0,25.0,0.0,999.9,0,899
3,2012,01,11,2012-01-11,39.2,28.5,1006.2,10.0,2.8,7.0,999.9,54.0,25.2,0.0,999.9,0,886
4,2012,01,12,2012-01-12,33.8,28.0,998.0,6.3,7.1,17.1,24.1,54.0,26.1,0.0,2.0,1,745
5,2012,01,13,2012-01-13,20.4,13.8,1008.3,5.6,12.4,18.1,24.1,37.0,17.1,0.36,3.9,0,752
6,2012,01,14,2012-01-14,17.7,9.1,1019.1,8.5,5.9,8.9,999.9,21.9,15.1,0.01,3.9,0,781
7,2012,01,15,2012-01-15,18.7,11.2,1025.4,9.7,6.0,17.1,19.0,30.9,5.0,0.0,3.9,0,772
1,2012,01,16,2012-01-16,34.9,26.4,1013.3,10.0,11.5,17.1,22.9,45.0,27.0,0.0,1.2,0,826
2,2012,01,17,2012-01-17,35.7,31.9,1006.5,5.2,10.6,21.0,31.1,45.0,26.1,0.1,3.9,0,844
3,2012,01,18,2012-01-18,18.5,8.5,1023.1,9.8,9.3,18.1,24.1,39.0,10.0,0.1,999.9,0,791
4,2012,01,19,2012-01-19,20.3,8.5,1015.0,9.3,13.1,19.0,26.0,28.0,7.0,0.01,999.9,0,748
5,2012,01,20,2012-01-20,9.9,-3.0,1023.2,7.3,4.7,8.9,999.9,28.0,5.0,0.47,5.1,1,685
6,2012,01,21,2012-01-21,20.4,14.2,1022.1,8.4,5.7,12.0,999.9,25.0,5.0,0.07,5.1,0,717
7,2012,01,22,2012-01-22,23.5,18.9,1016.3,5.7,11.0,15.9,20.0,35.1,15.8,0.0,3.9,0,682
1,2012,01,23,2012-01-23,38.5,35.5,1000.8,5.4,13.0,20.0,31.1,46.0,16.0,0.61,3.1,1,834
2,2012,01,24,2012-01-24,31.1,21.9,1018.7,10.0,11.4,18.1,29.9,36.0,26.6,0.29,999.9,0,898
3,2012,01,25,2012-01-25,29.5,23.2,1026.3,7.0,2.7,8.9,999.9,37.0,21.9,0.0,999.9,0,962
4,2012,01,26,2012-01-26,34.2,30.0,1014.5,4.1,3.2,7.0,999.9,37.9,21.9,0.0,999.9,0,924
5,2012,01,27,2012-01-27,37.2,27.4,1009.3,7.7,7.1,14.0,20.0,43.0,32.0,0.0,999.9,0,933
6,2012,01,28,2012-01-28,32.4,23.7,1015.5,7.7,12.3,21.0,28.9,43.0,26.1,0.09,1.2,0,808
7,2012,01,29,2012-01-29,29.4,20.0,1018.6,9.2,9.9,17.1,26.0,34.0,25.0,0.05,1.2,0,813
1,2012,01,30,2012-01-30,31.9,21.0,1018.2,10.0,9.1,15.0,24.1,53.1,21.0,0.0,999.9,0,868
2,2012,01,31,2012-01-31,49.6,38.8,1010.2,10.0,13.5,18.1,28.9,55.9,45.0,0.0,999.9,0,964
3,2012,02,01,2012-02-01,43.7,36.2,1015.7,9.9,6.3,13.0,19.0,57.0,37.0,0.0,999.9,0,1041
4,2012,02,02,2012-02-02,36.3,32.2,1023.7,5.1,3.3,7.0,999.9,48.0,30.9,0.0,999.9,0,880
5,2012,02,03,2012-02-03,35.6,31.0,1030.4,5.3,5.0,12.0,999.9,43.0,31.1,0.0,999.9,0,897
6,2012,02,04,2012-02-04,37.8,30.6,1026.4,7.7,9.3,13.0,20.0,42.1,33.1,0.0,999.9,0,848
7,2012,02,05,2012-02-05,36.3,28.8,1024.3,9.4,4.6,11.1,19.0,45.0,28.9,0.0,999.9,0,744
1,2012,02,06,2012-02-06,31.9,27.1,1023.0,6.5,7.8,13.0,18.1,45.0,28.9,0.0,999.9,0,765
2,2012,02,07,2012-02-07,31.9,26.3,1024.6,6.9,9.8,18.1,26.0,36.0,30.0,0.0,999.9,0,858
3,2012,02,08,2012-02-08,30.6,17.9,1028.7,10.0,8.4,15.0,18.1,37.0,27.0,0.01,999.9,0,811
4,2012,02,09,2012-02-09,27.8,17.4,1025.0,9.6,7.5,13.0,19.0,37.0,21.0,0.0,999.9,0,829
5,2012,02,10,2012-02-10,31.8,23.8,1017.3,7.5,9.7,21.0,28.0,35.6,17.6,0.0,1.2,1,775
6,2012,02,11,2012-02-11,14.6,1.9,1025.8,9.2,16.0,22.0,29.9,19.9,10.0,0.19,1.2,0,712
7,2012,02,12,2012-02-12,22.0,4.4,1027.4,10.0,11.0,14.0,20.0,35.1,10.0,0.0,1.2,0,718
1,2012,02,13,2012-02-13,26.8,10.6,1021.3,10.0,6.6,15.9,21.0,36.0,15.1,0.0,1.2,0,729
