"","day","temp","crime_data_count"
"1",7,38.1,1532
"2",1,25.5,702
"3",2,18.7,808
"4",3,30.7,799
"5",4,34.9,871
"6",5,46.2,913
"7",6,40.6,862
"8",7,32.6,800
"9",1,34.3,883
"10",2,39.6,899
"11",3,39.2,886
"12",4,33.8,745
"13",5,20.4,752
"14",6,17.7,781
"15",7,18.7,772
"16",1,34.9,826
"17",2,35.7,844
"18",3,18.5,791
"19",4,20.3,748
"20",5,9.9,685
"21",6,20.4,717
"22",7,23.5,682
"23",1,38.5,834
"24",2,31.1,898
"25",3,29.5,962
"26",4,34.2,924
"27",5,37.2,933
"28",6,32.4,808
"29",7,29.4,813
"30",1,31.9,868
"31",2,49.6,964
"32",3,43.7,1041
"33",4,36.3,880
"34",5,35.6,897
"35",6,37.8,848
"36",7,36.3,744
"37",1,31.9,765
"38",2,31.9,858
"39",3,30.6,811
"40",4,27.8,829
"41",5,31.8,775
"42",6,14.6,712
"43",7,22,718
"44",1,26.8,729
"45",2,31.7,775
"46",3,37,928
"47",4,40.3,869
"48",5,37.4,986
"49",6,36.7,763
"50",7,31.8,785
"51",1,31.6,716
"52",2,38.1,850
"53",3,38.4,897
"54",4,36,817
"55",5,34.1,784
"56",6,25.2,792
"57",7,29.6,727
"58",1,36.9,818
"59",2,32.7,893
"60",3,47.6,875
"61",4,37.6,1042
"62",5,38.1,881
"63",6,33.3,779
"64",7,30.2,757
"65",1,28.2,764
"66",2,43.8,938
"67",3,60.2,950
"68",4,50.1,922
"69",5,36,958
"70",6,38.4,891
"71",7,53.2,805
"72",1,59.2,912
"73",2,58,926
"74",3,62.6,930
"75",4,71.2,1000
"76",5,60.4,956
"77",6,69.5,1070
"78",7,69.5,919
"79",1,69.2,979
"80",2,74.3,992
"81",3,73.8,1076
"82",4,71.2,979
"83",5,62.8,976
"84",6,56.2,905
"85",7,57.6,885
"86",1,43.2,831
"87",2,50.1,868
"88",3,63.8,911
"89",4,46.1,948
"90",5,45.4,941
"91",6,42.2,878
"92",7,49.2,999
"93",1,51.9,828
"94",2,57.7,883
"95",3,51.5,865
"96",4,45.6,881
"97",5,43.6,903
"98",6,49.5,974
"99",7,56.7,820
"100",1,54.3,918
"101",2,43,844
"102",3,41.8,920
"103",4,46.7,922
"104",5,53.7,939
"105",6,59,944
"106",7,67.3,977
"107",1,60,931
"108",2,48.5,959
"109",3,54.1,879
"110",4,58,961
"111",5,45.3,917
"112",6,44.5,876
"113",7,46.1,824
"114",1,48.6,935
"115",2,51.6,896
"116",3,55.2,952
"117",4,51.3,925
"118",5,44.2,962
"119",6,46.6,878
"120",7,48.7,803
"121",1,54.3,869
"122",2,57.8,1064
"123",3,67.3,998
"124",4,75.6,981
"125",5,66.9,1031
"126",6,56.6,950
"127",7,58.4,843
"128",1,60.3,973
"129",2,61.1,1025
"130",3,56.9,977
"131",4,55.4,916
"132",5,61,998
"133",6,64.5,932
"134",7,61,819
"135",1,63.8,1004
"136",2,71.3,1040
"137",3,61.2,947
"138",4,59.7,954
"139",5,67.1,978
"140",6,75,931
"141",7,78.9,956
"142",1,65.1,886
"143",2,60.2,950
"144",3,64.2,1072
"145",4,75.7,1023
"146",5,76.1,1083
"147",6,69.6,910
"148",7,79.2,927
"149",1,85.9,1030
"150",2,78.1,1094
"151",3,65,985
"152",4,51.4,829
"153",5,54.6,1224
"154",6,61.2,944
"155",7,68.9,991
"156",1,70.2,980
"157",2,64.4,950
"158",3,64.8,1024
"159",4,68.3,991
"160",5,72.9,1114
"161",6,78.9,1049
"162",7,80.3,1008
"163",1,80.6,1067
"164",2,73.7,1089
"165",3,65.2,1076
"166",4,70.5,979
"167",5,77.4,1082
"168",6,81.5,1062
"169",7,77.3,946
"170",1,81,1068
"171",2,86,1005
"172",3,86.1,1098
"173",4,81.1,1056
"174",5,76.4,1120
"175",6,76.2,1128
"176",7,78.9,1077
"177",1,71.2,965
"178",2,70,957
"179",3,74.9,1047
"180",4,87,939
"181",5,81.7,1045
"182",6,79.3,1011
"183",7,80.9,1190
"184",1,83.8,1056
"185",2,86.7,1060
"186",3,89.8,1045
"187",4,89.5,1010
"188",5,92.3,1027
"189",6,86.9,1063
"190",7,77.2,1093
"191",1,77.9,1065
"192",2,76.5,1054
"193",3,75.7,1030
"194",4,79.8,1040
"195",5,81.1,1084
"196",6,77.8,1054
"197",7,80.9,1125
"198",1,85.2,988
"199",2,89.2,1004
"200",3,83.9,977
"201",4,77,921
"202",5,74.7,1072
"203",6,75.8,1065
"204",7,79.4,985
"205",1,86.2,988
"206",2,80.6,967
"207",3,80.5,1012
"208",4,83.3,976
"209",5,75.4,1040
"210",6,74.4,1044
"211",7,74.3,1017
"212",1,80.1,999
"213",2,79.6,933
"214",3,77.7,1107
"215",4,79.9,1019
"216",5,82,1061
"217",6,81.3,1000
"218",7,74.7,962
"219",1,74.3,962
"220",2,77.3,952
"221",3,79.1,974
"222",4,72.4,936
"223",5,67.1,914
"224",6,67.1,994
"225",7,68.3,944
"226",1,66.4,868
"227",2,68,961
"228",3,73.9,1063
"229",4,73,937
"230",5,67,963
"231",6,66.4,986
"232",7,69.1,940
"233",1,68.4,893
"234",2,66.8,921
"235",3,69.3,890
"236",4,76.3,1031
"237",5,79.6,1032
"238",6,80.9,1080
"239",7,74.4,905
"240",1,74.8,902
"241",2,74.5,953
"242",3,74.3,955
"243",4,76.5,929
"244",5,81.7,1015
"245",6,74.1,1181
"246",7,75.2,895
"247",1,78,890
"248",2,78.9,914
"249",3,73.1,861
"250",4,77.7,1018
"251",5,72,960
"252",6,62.7,985
"253",7,62.5,910
"254",1,63.7,881
"255",2,68,913
"256",3,73.5,936
"257",4,66.9,868
"258",5,61.2,997
"259",6,65.4,1013
"260",7,65.2,897
"261",1,65.8,901
"262",2,56.7,831
"263",3,56.1,914
"264",4,64.1,920
"265",5,54.9,998
"266",6,51.6,871
"267",7,50.8,827
"268",1,52.6,869
"269",2,63.6,922
"270",3,62.6,934
"271",4,56,839
"272",5,58.3,983
"273",6,60.2,970
"274",7,58.5,869
"275",1,56.5,1054
"276",2,60.4,906
"277",3,61.5,919
"278",4,63.1,880
"279",5,48.3,915
"280",6,42.7,807
"281",7,44.5,768
"282",1,44,901
"283",2,53.8,892
"284",3,45.2,962
"285",4,49.1,866
"286",5,47.4,964
"287",6,50.7,875
"288",7,64.4,860
"289",1,50.7,939
"290",2,51.6,874
"291",3,63.4,956
"292",4,51.6,898
"293",5,46.6,942
"294",6,48,961
"295",7,49.9,927
"296",1,57.6,839
"297",2,62.6,893
"298",3,67.4,1019
"299",4,69.9,851
"300",5,44.7,963
"301",6,41.4,861
"302",7,42.6,827
"303",1,42.5,833
"304",2,42.4,873
"305",3,41.3,951
"306",4,43.2,1075
"307",5,42.1,932
"308",6,41.7,802
"309",7,39.8,731
"310",1,39.2,891
"311",2,36.6,786
"312",3,42.2,875
"313",4,43.6,853
"314",5,41.8,1001
"315",6,55.1,977
"316",7,62.7,884
"317",1,37.9,795
"318",2,31.5,826
"319",3,35.4,847
"320",4,37.3,947
"321",5,39.3,941
"322",6,40.7,874
"323",7,42.1,849
"324",1,46.3,867
"325",2,51.4,925
"326",3,43.7,892
"327",4,52.4,660
"328",5,39.3,787
"329",6,28.3,838
"330",7,33.6,813
"331",1,32.7,799
"332",2,26.3,809
"333",3,33.4,858
"334",4,38.9,916
"335",5,44.7,991
"336",6,42.8,1058
"337",7,57.7,842
"338",1,55.2,933
"339",2,56.6,917
"340",3,37.2,861
"341",4,36.7,876
"342",5,43.4,899
"343",6,39.7,778
"344",7,38.6,761
"345",1,35,853
"346",2,30.5,826
"347",3,34.2,914
"348",4,39.1,809
"349",5,39,954
"350",6,42.7,858
"351",7,46,789
"352",1,38.4,829
"353",2,33.7,851
"354",3,36.3,877
"355",4,43,828
"356",5,29.9,778
"357",6,22.7,732
"358",7,26.2,763
"359",1,32.3,709
"360",2,28,522
"361",3,31.4,621
"362",4,29.7,684
"363",5,30.6,855
"364",6,29.4,806
"365",7,22.3,707
"366",1,32.2,740
"367",2,19.6,1421
"368",3,17.1,750
"369",4,25.8,776
"370",5,22.5,866
"371",6,29.1,788
"372",7,31.6,698
"373",1,26.5,818
"374",2,32.3,755
"375",3,40,884
"376",4,34.3,848
"377",5,45.9,905
"378",6,47.6,763
"379",7,27.8,709
"380",1,17,745
"381",2,21.7,841
"382",3,25.1,831
"383",4,29.2,849
"384",5,27.2,927
"385",6,39.9,885
"386",7,25.2,688
"387",1,12.4,665
"388",2,5.1,693
"389",3,13.2,797
"390",4,13.7,863
"391",5,21.2,824
"392",6,20.9,797
"393",7,26.6,704
"394",1,41.3,907
"395",2,51.8,906
"396",3,41.1,856
"397",4,19.1,753
"398",5,6.8,889
"399",6,16.2,738
"400",7,13.7,592
"401",1,23,728
"402",2,20.2,789
"403",3,26.3,826
"404",4,33.3,753
"405",5,28.3,816
"406",6,27,801
"407",7,33.9,762
"408",1,38,760
"409",2,27.6,785
"410",3,29,860
"411",4,37,750
"412",5,30,933
"413",6,19,691
"414",7,16.9,692
"415",1,35.9,756
"416",2,24.3,750
"417",3,14.6,768
"418",4,23.1,768
"419",5,27.8,763
"420",6,26.7,697
"421",7,25.9,676
"422",1,31.2,757
"423",2,34.2,675
"424",3,33.5,826
"425",4,33.5,808
"426",5,27.6,1006
"427",6,26.4,766
"428",7,23.2,717
"429",1,25.9,814
"430",2,32.1,696
"431",3,30.6,724
"432",4,32.6,831
"433",5,31.9,880
"434",6,34.9,838
"435",7,42.7,694
"436",1,42.5,824
"437",2,32.5,841
"438",3,27.9,824
"439",4,28.9,842
"440",5,34.6,878
"441",6,33,827
"442",7,30.3,773
"443",1,31.6,794
"444",2,24.1,771
"445",3,21.6,789
"446",4,21.9,759
"447",5,28.3,864
"448",6,32.4,783
"449",7,33.8,789
"450",1,33.8,758
"451",2,35.2,775
"452",3,37.2,775
"453",4,38.1,833
"454",5,43.2,874
"455",6,42.5,869
"456",7,49.3,767
"457",1,36.2,953
"458",2,34,839
"459",3,35.1,827
"460",4,39.1,934
"461",5,43.8,900
"462",6,46.9,807
"463",7,53,797
"464",1,50.3,896
"465",2,43.9,825
"466",3,39.9,852
"467",4,41.3,813
"468",5,41,922
"469",6,38.7,842
"470",7,45.4,828
"471",1,60.6,843
"472",2,47.2,862
"473",3,43.4,719
"474",4,52.2,797
"475",5,40.9,847
"476",6,37.1,804
"477",7,40.5,773
"478",1,51.5,915
"479",2,53.2,764
"480",3,41.3,907
"481",4,45,876
"482",5,49.2,962
"483",6,57.2,869
"484",7,57.8,794
"485",1,60.1,904
"486",2,69.6,861
"487",3,74.4,1170
"488",4,54.4,827
"489",5,43.6,903
"490",6,55.4,913
"491",7,58.1,827
"492",1,59.8,878
"493",2,61,909
"494",3,65.1,965
"495",4,64.1,837
"496",5,47.4,915
"497",6,49.7,833
"498",7,46.3,833
"499",1,48,895
"500",2,65.5,906
"501",3,76,1037
"502",4,69.6,973
"503",5,60.7,989
"504",6,65.8,946
"505",7,71.6,850
"506",1,79.5,961
"507",2,72.8,931
"508",3,68.7,910
"509",4,53.6,840
"510",5,47.8,935
"511",6,49.9,838
"512",7,54.5,778
"513",1,57.4,771
"514",2,64.8,848
"515",3,71.1,904
"516",4,76.5,946
"517",5,70.5,933
"518",6,70.3,1084
"519",7,57.5,832
"520",1,53.6,914
"521",2,60.2,858
"522",3,61.6,904
"523",4,57.7,960
"524",5,57.9,878
"525",6,62.3,923
"526",7,66.6,831
"527",1,70.7,888
"528",2,70.4,856
"529",3,75,830
"530",4,66.9,916
"531",5,64.1,1009
"532",6,66.7,899
"533",7,76.4,957
"534",1,77.4,1022
"535",2,62.7,930
"536",3,63.5,900
"537",4,71.2,969
"538",5,74.8,904
"539",6,73.1,922
"540",7,75.9,889
"541",1,76.4,825
"542",2,73,913
"543",3,72.9,953
"544",4,75.7,875
"545",5,74.7,910
"546",6,68,903
"547",7,67.7,934
"548",1,68.3,1079
"549",2,64.6,880
"550",3,64.1,879
"551",4,69.1,946
"552",5,73.9,989
"553",6,75.3,887
"554",7,77.2,903
"555",1,78.4,884
"556",2,79.7,884
"557",3,81.2,872
"558",4,72.9,885
"559",5,71.8,947
"560",6,74.3,947
"561",7,78.3,946
"562",1,79.8,1018
"563",2,81,907
"564",3,85.2,932
"565",4,85.2,920
"566",5,86.4,904
"567",6,80,918
"568",7,76.2,929
"569",1,76.3,1002
"570",2,74.9,925
"571",3,66.3,964
"572",4,68.2,918
"573",5,69.1,991
"574",6,62.4,895
"575",7,59.8,859
"576",1,65.3,891
